code,country_code,DZS,Useljenici,Iseljenici
276,DEU,Njemačka,6336,8167
70,BIH,Bosna i Hercegovina,1625,1687
40,AUT,Austrija,1116,3165
756,CHE,Švicarska,611,1296
372,IRL,Irska,458,421
688,SRB,Srbija,457,983
840,USA,Sjedinjene Američke Države,295,269
380,ITA,Italija,277,512
752,SWE,Švedska,249,314
124,CAN,Kanada,238,158
826,GBR,Ujedinjeno Kraljevstvo,201,321
36,AUS,Australija,183,141
705,SVN,Slovenija,162,378
528,NLD,Nizozemska,123,303
578,NOR,Norveška,101,149
250,FRA,Francuska,100,171
208,DNK,Danska,78,114
56,BEL,Belgija,70,133
724,ESP,Španjolska,49,90
203,CZE,Češka,44,58
807,MKD,Sjeverna Makedonija,43,28
442,LUX,Luksemburg,33,34
616,POL,Poljska,21,35
643,RUS,Rusija,18,14
383,KOS,Kosovo,18,16
348,HUN,Mađarska,17,31
703,SVK,Slovačka,16,22
499,MNE,Crna Gora,15,21
804,UKR,Ukrajina,5,2
642,ROU,Rumunjska,4,11
608,PHL,Filipini,2,2
356,IND,Indija,2,4
8,ALB,Albanija,2,1
100,BGR,Bugarska,1,3
