ID,POLICIJSKA,NOVO,PRODULJENJE,SEZONSKO,UKUPNO,GODINA
BB,Bjelovarsko-bilogorska,674,626,73,1373,2025
BP,Brodsko-posavska,2124,2195,4,4323,2025
DN,Dubrovačko-neretvanska,7055,3758,1740,12553,2025
IS,Istarska,12839,7427,4190,24456,2025
KA,Karlovačka,1479,1559,46,3084,2025
KK,Koprivničko-križevačka,931,1369,37,2337,2025
KZ,Krapinsko-zagorska,1850,1977,28,3855,2025
LS,Ličko-senjska,1708,1036,1130,3874,2025
MS,Međimurska,1585,2140,45,3770,2025
OB,Osječko-baranjska,1881,1550,214,3645,2025
PS,Požeško-slavonska,343,329,14,686,2025
PG,Primorsko-goranska,6996,5298,3127,15421,2025
SM,Sisačko-moslavačka,2043,1695,57,3795,2025
SD,Splitsko-dalmatinska,8352,5209,3887,17448,2025
ŠK,Šibensko-kninska,2567,1714,1812,6093,2025
VŽ,Varaždinska,1953,4199,17,6169,2025
VP,Virovitičko-podravska,518,463,23,1004,2025
VS,Vukovarsko-srijemska,1001,1295,34,2330,2025
ZD,Zadarska,4747,3497,3150,11394,2025
ZG,Zagrebačka,19719,22939,455,43113,2025
TOT,UKUPNO,80365,70275,20083,170723,2025
BB,Bjelovarsko-bilogorska,1579,430,109,2118,2024
BP,Brodsko-posavska,3193,1890,16,5099,2024
DN,Dubrovačko-neretvanska,8604,3017,1370,12991,2024
IS,Istarska,19467,6361,2832,28660,2024
KA,Karlovačka,3173,1437,72,4682,2024
KK,Koprivničko-križevačka,2670,1225,1,3896,2024
KZ,Krapinsko-zagorska,4311,1427,19,5757,2024
LS,Ličko-senjska,2545,642,857,4044,2024
MS,Međimurska,2669,1696,22,4387,2024
OB,Osječko-baranjska,3497,1459,91,5047,2024
PS,Požeško-slavonska,728,324,1,1053,2024
PG,Primorsko-goranska,11328,4697,3155,19180,2024
SM,Sisačko-moslavačka,5209,1146,11,6366,2024
SD,Splitsko-dalmatinska,14013,4647,3924,22584,2024
ŠK,Šibensko-kninska,4124,1325,1268,6717,2024
VŽ,Varaždinska,6235,3654,44,9933,2024
VP,Virovitičko-podravska,967,278,6,1251,2024
VS,Vukovarsko-srijemska,2612,925,81,3618,2024
ZD,Zadarska,8057,2986,2984,14027,2024
ZG,Zagrebačka,27227,17332,560,45119,2024
TOT,UKUPNO,132208,56898,17423,206529,2024
BB,Bjelovarsko-bilogorska,898,212,62,1172,2023
BP,Brodsko-posavska,3123,1273,9,4405,2023
DN,Dubrovačko-neretvanska,6514,2065,1726,10305,2023
IS,Istarska,16279,4523,3538,24340,2023
KA,Karlovačka,2510,1065,73,3648,2023
KK,Koprivničko-križevačka,2815,932,153,3900,2023
KZ,Krapinsko-zagorska,2503,966,78,3547,2023
LS,Ličko-senjska,1807,444,915,3166,2023
MS,Međimurska,3555,1428,27,5010,2023
OB,Osječko-baranjska,3190,1006,114,4310,2023
PS,Požeško-slavonska,529,217,,746,2023
PG,Primorsko-goranska,9147,3406,2959,15512,2023
SM,Sisačko-moslavačka,4182,833,17,5032,2023
SD,Splitsko-dalmatinska,10246,2912,4772,17930,2023
ŠK,Šibensko-kninska,3041,990,1448,5479,2023
VŽ,Varaždinska,5893,2203,1,8097,2023
VP,Virovitičko-podravska,608,207,1,816,2023
VS,Vukovarsko-srijemska,1768,663,59,2490,2023
ZD,Zadarska,5523,2080,2450,10053,2023
ZG,Zagrebačka,28850,13235,456,42541,2023
TOT,UKUPNO,112981,40660,18858,172499,2023
